"STATION","NAME","DATE","AWND","PRCP","SNOW","TAVG","TMAX","TMIN"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-08-13","3.80","0.01","0.0","77","80","74"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-08-14","8.28","0.00","0.0","79","86","72"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-08-15","11.41","0.00","0.0","76","85","70"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-08-16","13.20","0.29","0.0","70","71","67"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-08-17","10.74","0.06","0.0","71","78","63"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-08-18","9.17","0.07","0.0","73","84","62"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-08-19","4.25","0.35","0.0","71","76","66"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-08-20","7.61","0.00","0.0","71","79","62"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-08-21","12.97","0.00","0.0","74","82","69"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-08-22","10.51","0.00","0.0","78","86","73"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-08-23","8.05","0.00","0.0","76","83","70"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-08-24","8.95","0.00","0.0","79","88","73"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-08-25","13.42","0.08","0.0","83","92","72"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-08-26","13.87","0.00","0.0","75","81","68"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-08-27","8.95","0.69","0.0","77","92","68"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-08-28","11.41","0.03","0.0","77","87","71"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-08-29","11.41","0.10","0.0","74","79","72"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-08-30","12.97","0.00","0.0","75","82","63"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-08-31","6.71","0.00","0.0","69","75","60"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-09-01","11.18","0.20","0.0","72","79","67"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2020-09-02","9.84","0.07","0.0","73","80","70"
