"","MAR.Open","MAR.High","MAR.Low","MAR.Close","MAR.Volume","MAR.Adjusted"
"2014-09-05",70.209999,70.830002,70.209999,70.830002,2367300,65.208046
"2014-09-08",70.860001,71.330002,70.650002,71.07,2313100,65.429016
"2014-09-09",71,71.300003,70.720001,70.779999,1571300,65.162018
"2014-09-10",70.900002,71.040001,70.5,70.790001,1789300,65.171219
"2014-09-11",70.82,71.529999,70.510002,71.400002,2869100,65.73278
"2014-09-12",71.139999,71.230003,70.220001,70.620003,1640500,65.014725
"2014-09-15",70.540001,70.910004,70.449997,70.709999,1412900,65.097557
"2014-09-16",70.5,71.230003,70.330002,71.139999,2199600,65.493431
"2014-09-17",71.279999,72.089996,71.209999,71.730003,1476700,66.036606
"2014-09-18",72.190002,72.470001,71.760002,72.449997,1677300,66.699471
"2014-09-19",72.980003,73.279999,72.040001,72.190002,3799000,66.460106
"2014-09-22",72.32,72.32,71.279999,71.610001,1961100,65.92614
"2014-09-23",71.489998,71.800003,70.900002,70.919998,1889200,65.290916
"2014-09-24",70.900002,71.480003,70.779999,71.389999,1213800,65.723595
"2014-09-25",71.370003,71.669998,70.459999,70.519997,1508100,64.922653
"2014-09-26",70.849998,71.07,70.519997,70.720001,3139700,65.106766
"2014-09-29",70.269997,70.690002,69.970001,70.440002,1664600,64.849014
"2014-09-30",70.230003,70.629997,69.900002,69.900002,1989100,64.351875
"2014-10-01",69.559998,69.580002,67.339996,67.940002,4252100,62.547421
"2014-10-02",67.980003,68.160004,65.480003,66.800003,4099800,61.497917
"2014-10-03",67.160004,68.269997,67.040001,68.099998,3763600,62.69474
"2014-10-06",68.089996,68.389999,67.089996,67.330002,2673400,61.985855
"2014-10-07",66.660004,67.410004,65.980003,66,3238200,60.761414
"2014-10-08",65.870003,66.339996,65.339996,66.169998,5241600,60.917919
"2014-10-09",65.589996,66.190002,64.529999,64.580002,3565600,59.454128
"2014-10-10",64.400002,64.739998,63.119999,63.549999,4100400,58.505875
"2014-10-13",63.549999,63.66,61.630001,61.709999,6500400,56.81192
"2014-10-14",62.110001,63.880001,62.060001,62.549999,5234700,57.585247
"2014-10-15",61.919998,63.900002,59.610001,62.200001,6844700,57.263031
"2014-10-16",60.720001,63.549999,60.66,62.790001,2919200,57.806213
"2014-10-17",63.630001,65.339996,63.23,65.010002,3110300,59.849991
"2014-10-20",64.940002,67.629997,64.900002,67.019997,3737000,61.700447
"2014-10-21",67.580002,68.699997,67.300003,68.419998,2820800,62.989326
"2014-10-22",69.410004,69.629997,68.220001,68.419998,2353800,62.989326
"2014-10-23",69,70,68.339996,68.43,3434800,62.998543
"2014-10-24",68.400002,69.349998,68.040001,69.290001,2363900,63.790283
"2014-10-27",69.300003,70.400002,69.010002,70.260002,2317400,64.683296
"2014-10-28",69.849998,72.209999,69.230003,71.949997,4551100,66.239143
"2014-10-29",74,75.190002,72.089996,74.029999,4337100,68.154083
"2014-10-30",73.510002,76.309998,73.5,76,3342900,69.967705
"2014-10-31",77.989998,77.989998,75.209999,75.75,3577300,69.737556
"2014-11-03",75.910004,76.150002,74.949997,75.800003,2427500,69.783577
"2014-11-04",75.400002,75.589996,74.32,74.57,3395500,68.651199
"2014-11-05",75.190002,75.199997,73.940002,74.900002,3106700,68.955009
"2014-11-06",75.07,75.339996,74.440002,75.25,2331700,69.277214
"2014-11-07",75.330002,75.550003,74.959999,75.5,1803200,69.507385
"2014-11-10",75.519997,76.669998,75.330002,76.559998,1434600,70.483261
