"","HLT.Open","HLT.High","HLT.Low","HLT.Close","HLT.Volume","HLT.Adjusted"
"2021-08-12",124.470001,124.870003,122.550003,123.43,2069800,122.882088
"2021-08-13",123.080002,123.43,121.32,122.209999,1951400,121.667503
"2021-08-16",121.129997,122.580002,120.18,121.489998,2464400,120.950699
"2021-08-17",120.110001,120.790001,119.360001,119.989998,2233300,119.457359
"2021-08-18",119.389999,120.419998,118.080002,119,2360000,118.471756
"2021-08-19",118.800003,119.470001,117.529999,119.230003,2692200,118.700737
"2021-08-20",118.5,122.339996,118.339996,121.769997,2554900,121.229454
"2021-08-23",122.690002,123.709999,121.93,123.029999,1799500,122.483864
"2021-08-24",124.160004,127.949997,124.139999,126.860001,2182700,126.296867
"2021-08-25",126.870003,127.919998,125.440002,127.32,1392700,126.754822
"2021-08-26",126.690002,126.739998,124.589996,125.620003,1038000,125.06237
"2021-08-27",125.480003,127.970001,125.480003,127.559998,1149700,126.993752
"2021-08-30",127.900002,127.900002,125.230003,125.720001,1136800,125.161934
"2021-08-31",125.720001,126.169998,124.029999,124.860001,2698000,124.30574
"2021-09-01",125.610001,125.970001,124.169998,125.32,2127500,124.763702
"2021-09-02",124.720001,125.529999,123.779999,124.389999,1991000,123.837822
"2021-09-03",123.910004,124.160004,120.849998,123.080002,1697300,122.533646
"2021-09-07",122.5,123.989998,121.879997,123.370003,1132200,122.822357
"2021-09-08",123.889999,124.190002,121.419998,122.760002,2288400,122.215073
"2021-09-09",122.68,126.959999,122.519997,125.75,1933900,125.191788
"2021-09-10",126.699997,128.860001,125.349998,127.400002,2287700,126.834465
"2021-09-13",128.259995,130.25,126.730003,130.210007,1459800,129.631989
"2021-09-14",130.600006,132.110001,129.520004,131.820007,1767300,131.234848
"2021-09-15",131.119995,131.860001,128.830002,131.399994,1697200,130.816711
"2021-09-16",131.119995,132.559998,130.850006,132.020004,972700,131.43396
"2021-09-17",132.119995,133.440002,130.839996,131.210007,1748600,130.627563
"2021-09-20",129.199997,130.160004,126.980003,128.830002,1976400,128.258133
"2021-09-21",130.110001,130.850006,127.690002,127.82,1520700,127.252602
"2021-09-22",128.389999,130.070007,128.240005,129.190002,1851700,128.616531
"2021-09-23",129.899994,135.100006,129.660004,134.490005,2505800,133.893005
"2021-09-24",134.360001,136.309998,133.990005,135.479996,2311800,134.878601
"2021-09-27",137.330002,139.369995,136.449997,138.800003,2323600,138.183853
"2021-09-28",138.229996,140.210007,136.070007,136.550003,2342900,135.943848
"2021-09-29",137.309998,137.360001,133.559998,135.160004,2152600,134.560028
"2021-09-30",135.029999,135.029999,131.75,132.110001,2415900,131.52356
"2021-10-01",134.770004,138.580002,134.130005,138.149994,4563100,137.536743
"2021-10-04",138.460007,141.440002,136.919998,138.509995,3687400,137.895142
"2021-10-05",138.75,140.830002,137.789993,139.75,2028500,139.129654
"2021-10-06",137.949997,139.630005,135.699997,139.360001,1751600,138.741379
"2021-10-07",140.860001,143.309998,140.130005,141.169998,1503400,140.543335
"2021-10-08",141.369995,142.5,140.889999,141.509995,1653900,140.881821
"2021-10-11",141.429993,143.809998,141.190002,142.850006,1494900,142.215866
"2021-10-12",143.220001,145.110001,142.949997,144.699997,2336500,144.057678
"2021-10-13",145,145.25,140.710007,140.830002,2195100,140.204849
"2021-10-14",142.289993,142.559998,141.240005,141.580002,1218200,140.951523
"2021-10-15",143.210007,145.449997,143.119995,144.520004,1674700,143.878479
"2021-10-18",143.369995,144.75,142.720001,144.059998,1074500,143.420502
"2021-10-19",144.979996,144.979996,140.789993,140.949997,3772100,140.32431
"2021-10-20",140.529999,141.910004,139.490005,140.240005,1501200,139.617462
"2021-10-21",140.089996,141.630005,139.759995,141.5,1306800,140.871887
"2021-10-22",140.570007,142.759995,140.470001,141.660004,1091000,141.031174
"2021-10-25",141.770004,143.029999,139.850006,142.169998,1412300,141.538879
"2021-10-26",143.460007,145.25,143.020004,144.449997,2642300,143.808792
"2021-10-27",141.080002,149.039993,140.410004,147.220001,3504700,146.566498
"2021-10-28",148.350006,148.729996,145.589996,146.039993,1620600,145.391724
"2021-10-29",145.580002,146.5,142.839996,143.949997,2566000,143.310989
"2021-11-01",144.300003,145.509995,143.199997,144.779999,4249400,144.137314
"2021-11-02",144.509995,144.960007,140.619995,141.339996,2592200,140.712585
"2021-11-03",140.490005,146.809998,139.869995,145.240005,2336200,144.595276
"2021-11-04",145.990005,148.089996,145.839996,147.440002,1284900,146.785507
"2021-11-05",152.190002,153.839996,148.690002,151.839996,3035100,151.16597
"2021-11-08",152.259995,154.399994,150.479996,151.169998,1893700,150.498947
"2021-11-09",150.869995,151.979996,146.630005,148.460007,1354600,147.80098
"2021-11-10",147.429993,149.190002,145.229996,146.529999,1255900,145.879547
"2021-11-11",145.809998,147.149994,143.399994,143.580002,1634100,142.942657
"2021-11-12",143.699997,145.460007,142.800003,143.470001,1872500,142.83313
"2021-11-15",144.25,144.410004,142.419998,142.910004,955600,142.27562
"2021-11-16",142.869995,144.289993,140.320007,141.740005,2396700,141.110825
"2021-11-17",140.809998,144.729996,139.850006,144.529999,2306000,143.888428
"2021-11-18",145.089996,145.889999,142.509995,143.589996,1313400,142.952591
"2021-11-19",140.729996,145.139999,137.089996,144.369995,3014500,143.729141
"2021-11-22",145.550003,145.679993,141.860001,143.869995,2180600,143.231339
"2021-11-23",145.550003,146.830002,144.589996,145.729996,1405600,145.083115
"2021-11-24",143.979996,146.369995,142.949997,145.289993,1066900,144.645065
"2021-11-26",135.800003,136.600006,132.119995,136.210007,3513600,135.605347
"2021-11-29",138.470001,140.399994,137.899994,138.070007,2558000,137.457123
"2021-11-30",135.990005,137.429993,133.789993,135.070007,2992400,134.470413
"2021-12-01",137.559998,138.600006,129.880005,129.960007,3570800,129.383102
"2021-12-02",131.660004,140.570007,130.970001,139.589996,3150700,138.970352
"2021-12-03",139.580002,140.399994,135.539993,138.740005,2732500,138.12413
"2021-12-06",141.520004,146,141.240005,144.309998,1709900,143.669403
"2021-12-07",145.880005,148.75,142.130005,143.149994,1980100,142.514542
"2021-12-08",144.419998,145.610001,142.020004,144.389999,1508300,143.749054
"2021-12-09",143.210007,145.029999,142.330002,144.309998,881900,143.669403
"2021-12-10",145,146.619995,142.410004,146.130005,1443600,145.481339
"2021-12-13",144.550003,144.649994,140.880005,142.410004,1567900,141.777832
"2021-12-14",142.119995,145.160004,141.389999,141.979996,1581300,141.349731
"2021-12-15",141.820007,142.360001,137.880005,140.289993,1795600,139.667221
"2021-12-16",141.100006,142.139999,138.960007,139,1852100,138.382965
"2021-12-17",138.5,141.759995,137.600006,140.940002,3068300,140.314377
"2021-12-20",139,141.259995,137.369995,140.369995,2067200,139.746887
"2021-12-21",142.550003,148.649994,142.320007,148.550003,2214100,147.890579
