"","UAL.Open","UAL.High","UAL.Low","UAL.Close","UAL.Volume","UAL.Adjusted"
"2017-05-19",76.419998,78.339996,76.18,77.980003,4143600,77.980003
"2017-05-22",78.440002,79.199997,78.370003,78.919998,2469100,78.919998
"2017-05-23",79.110001,79.260002,78.419998,79.029999,1821900,79.029999
"2017-05-24",79.139999,79.730003,78.580002,78.940002,1942000,78.940002
"2017-05-25",79.18,81.540001,79.029999,81.410004,3647700,81.410004
"2017-05-26",81.169998,81.959999,80.739998,81.25,2537300,81.25
"2017-05-30",80.900002,80.949997,79.010002,79.25,3428700,79.25
"2017-05-31",79.730003,79.959999,78.559998,79.669998,2523200,79.669998
"2017-06-01",79.989998,80.989998,79.459999,80.980003,2458600,80.980003
"2017-06-02",81.489998,83.040001,81.459999,82.029999,3206500,82.029999
"2017-06-05",82.040001,82.339996,81.209999,81.669998,1840500,81.669998
"2017-06-06",81.07,81.809998,80.650002,81.239998,2171000,81.239998
"2017-06-07",79.669998,81.860001,78.349998,81.660004,6263100,81.660004
"2017-06-08",81.660004,81.870003,80.199997,80.519997,4005600,80.519997
"2017-06-09",80.959999,81.5,78.150002,78.830002,5285700,78.830002
"2017-06-12",79.019997,79.080002,76.230003,77.730003,5146500,77.730003
"2017-06-13",77.830002,78.599998,76.330002,77.480003,4073100,77.480003
"2017-06-14",77.870003,77.919998,76.349998,77.559998,2479600,77.559998
"2017-06-15",77.169998,77.379997,76.110001,77.339996,3560800,77.339996
"2017-06-16",77.510002,77.720001,76.489998,76.779999,3165000,76.779999
"2017-06-19",77.129997,78.760002,76.790001,78.629997,3336800,78.629997
"2017-06-20",79.040001,79.339996,77.25,77.279999,2389100,77.279999
"2017-06-21",77.620003,78.080002,76.970001,77.589996,2134400,77.589996
"2017-06-22",78.370003,78.910004,77.080002,77.449997,3160100,77.449997
"2017-06-23",77.480003,77.529999,76.550003,76.790001,4623400,76.790001
"2017-06-26",76.870003,78.400002,76.550003,77.029999,2545100,77.029999
"2017-06-27",77.080002,77.449997,75.940002,76,2767500,76
"2017-06-28",76.510002,77.370003,76.300003,76.699997,2628800,76.699997
"2017-06-29",76.82,77.480003,74.970001,75.440002,3524900,75.440002
"2017-06-30",76.190002,76.190002,75.220001,75.25,3456500,75.25
"2017-07-03",75.849998,76.650002,75.059998,75.080002,2390800,75.080002
"2017-07-05",75.349998,76.860001,74.43,76.540001,4519500,76.540001
"2017-07-06",76,78.529999,75.699997,77.709999,4312700,77.709999
"2017-07-07",77.980003,79.290001,77.529999,78.940002,4200500,78.940002
"2017-07-10",78.489998,79.120003,77.769997,78.260002,4082400,78.260002
"2017-07-11",78.089996,78.190002,76.910004,76.919998,3516300,76.919998
"2017-07-12",78.699997,80.809998,78.610001,80.529999,5053900,80.529999
"2017-07-13",80.5,81.389999,79.669998,80.169998,3477700,80.169998
"2017-07-14",80,80.169998,79.050003,79.849998,2127900,79.849998
"2017-07-17",79.660004,80.120003,79.18,79.779999,2355400,79.779999
"2017-07-18",79.300003,79.68,78.290001,78.900002,4118000,78.900002
"2017-07-19",76.230003,76.699997,73.699997,74.239998,15491000,74.239998
"2017-07-20",74.099998,74.25,72.029999,72.080002,8095700,72.080002
"2017-07-21",72.190002,72.43,71.339996,71.57,5996000,71.57
"2017-07-24",71.230003,71.879997,70.339996,70.43,4314400,70.43
"2017-07-25",71.139999,71.279999,69.349998,69.480003,4696300,69.480003
"2017-07-26",69.5,70.360001,69,70.239998,4442000,70.239998
"2017-07-27",69.019997,69.019997,66.449997,68.089996,7925700,68.089996
"2017-07-28",67.879997,68.269997,67.129997,67.879997,4989600,67.879997
"2017-07-31",68.480003,68.650002,67.57,67.68,2509000,67.68
"2017-08-01",68.150002,68.550003,67.550003,67.860001,2767800,67.860001
"2017-08-02",68.010002,68.269997,66.93,67.440002,3191600,67.440002
