"SP500.203020.Open","SP500.203020.High","SP500.203020.Low","SP500.203020.Close","SP500.203020.Volume","SP500.203020.Adjusted","Date"
232.720001,233.220001,223.880005,227.410004,147806500,227.410004,"2020-11-30"
231.270004,233.669998,228.429993,228.869995,115995800,228.869995,"2020-12-01"
227.160004,234.139999,224.669998,233.369995,112538000,233.369995,"2020-12-02"
237.270004,248.429993,237.139999,242.550003,236863900,242.550003,"2020-12-03"
246.190002,248.009995,239.440002,241,170722300,241,"2020-12-04"
242.149994,245.229996,239.520004,242.029999,202123700,242.029999,"2020-12-07"
240.029999,245.199997,239.880005,241.619995,134248000,241.619995,"2020-12-08"
244.619995,246.059998,232.600006,236.75,198642600,236.75,"2020-12-09"
231.800003,243.029999,231.800003,242.360001,120895200,242.360001,"2020-12-10"
239.580002,240.940002,232.899994,236.220001,141972800,236.220001,"2020-12-11"
240.210007,240.470001,231.050003,231.050003,124350800,231.050003,"2020-12-14"
234.210007,237.070007,228,236.679993,123781000,236.679993,"2020-12-15"
235.210007,235.289993,230.139999,232.490005,94037100,232.490005,"2020-12-16"
233.630005,234.419998,230.289993,233.600006,79845400,233.600006,"2020-12-17"
232.020004,233.080002,229.119995,230.889999,114838700,230.889999,"2020-12-18"
223.179993,229.679993,222.229996,228.240005,134391100,228.240005,"2020-12-21"
230.320007,230.399994,222.330002,223.410004,109567000,223.410004,"2020-12-22"
224.789993,231.850006,224.660004,230.240005,98708100,230.240005,"2020-12-23"
231.529999,231.529999,225.889999,227.600006,46781700,227.600006,"2020-12-24"
230.710007,233.25,229.289993,229.429993,91030000,229.429993,"2020-12-28"
231.630005,232.759995,227.800003,228.580002,74288700,228.580002,"2020-12-29"
228.529999,233,228.529999,231.5,72990900,231.5,"2020-12-30"
229.509995,231.330002,227.240005,229.100006,84881400,229.100006,"2020-12-31"
229.369995,229.5,218.839996,220.490005,111091600,220.490005,"2021-01-04"
219.279999,227.539993,219.279999,225.119995,83940600,225.119995,"2021-01-05"
229.279999,229.279999,229.279999,229.279999,0,229.279999,"2021-01-06"
229.789993,233.660004,229.720001,229.720001,73284200,229.720001,"2021-01-07"
230.919998,233.660004,226.570007,227.960007,79277300,227.960007,"2021-01-08"
223.880005,228.699997,222.639999,226.630005,69920000,226.630005,"2021-01-11"
227.889999,232.210007,225.720001,231.669998,70752600,231.669998,"2021-01-12"
230.559998,233.649994,225.720001,232.309998,71347700,232.309998,"2021-01-13"
236.860001,242.479996,236.350006,239.809998,123536000,239.809998,"2021-01-14"
238.520004,238.809998,229.850006,229.850006,91712600,229.850006,"2021-01-15"
232.899994,234.300003,230.220001,232.279999,66141200,232.279999,"2021-01-19"
233.539993,238.679993,233.199997,237.839996,71761000,237.839996,"2021-01-20"
234.449997,235.309998,229.270004,232.419998,100245600,232.419998,"2021-01-21"
228.529999,230.570007,228.119995,230.039993,69460900,230.039993,"2021-01-22"
227.690002,228.25,219.690002,222.509995,113489300,222.509995,"2021-01-25"
224.100006,225.949997,222.720001,224.080002,76635500,224.080002,"2021-01-26"
220.809998,226.020004,218.919998,220.360001,223595100,220.360001,"2021-01-27"
232.440002,237.320007,224.139999,228.490005,372214000,228.490005,"2021-01-28"
227.270004,228.580002,217.759995,219.300003,165498400,219.300003,"2021-01-29"
221.940002,221.940002,217.550003,220.210007,79442000,220.210007,"2021-02-01"
223.899994,225.529999,217.550003,223.899994,71608300,223.899994,"2021-02-02"
224.009995,231.470001,223.380005,230.550003,94763900,230.550003,"2021-02-03"
231.360001,238.089996,231.25,237.5,74242300,237.5,"2021-02-04"
239.949997,241.300003,237.130005,238.729996,62299900,238.729996,"2021-02-05"
240.119995,252.429993,240.119995,249.880005,94773900,249.880005,"2021-02-08"
246.779999,246.830002,242.779999,244.960007,58613000,244.960007,"2021-02-09"
246.570007,249.259995,245.100006,246.699997,57709200,246.699997,"2021-02-10"
244.820007,246.550003,241.699997,245.729996,61451000,245.729996,"2021-02-11"
244.630005,249.639999,244.119995,247.449997,53222400,247.449997,"2021-02-12"
251.020004,254.520004,249.520004,254.119995,69857100,254.119995,"2021-02-16"
252.919998,255.419998,249.449997,255.059998,66653000,255.059998,"2021-02-17"
252.229996,253.279999,248.330002,252.809998,51577600,252.809998,"2021-02-18"
254.789993,264.209991,254.429993,261.529999,91877600,261.529999,"2021-02-19"
268.309998,279.98999,265.519989,273.329987,163654200,273.329987,"2021-02-22"
277.220001,282.23999,263.790009,279.709991,133757700,279.709991,"2021-02-23"
282.959991,294.829987,282.549988,292.070007,134962900,292.070007,"2021-02-24"
292.899994,292.899994,277.059998,283.149994,124971500,283.149994,"2021-02-25"
