Date,num_vaccine,Distributor
02/23/2021,0.0,Moderna
02/23/2022,516151860.0,Moderna
02/24/2021,0.0,Moderna
02/24/2022,517036660.0,Moderna
02/25/2021,0.0,Moderna
02/25/2022,517520860.0,Moderna
02/26/2021,0.0,Moderna
02/26/2022,517669160.0,Moderna
02/27/2021,0.0,Moderna
02/27/2022,517669360.0,Moderna
02/28/2021,0.0,Moderna
02/28/2022,518119860.0,Moderna
03/01/2021,0.0,Moderna
03/01/2022,518215860.0,Moderna
03/02/2021,0.0,Moderna
03/02/2022,518598660.0,Moderna
03/03/2021,0.0,Moderna
03/03/2022,519678660.0,Moderna
03/04/2021,0.0,Moderna
03/04/2022,520216760.0,Moderna
03/05/2021,123113200.0,Moderna
03/05/2022,520507160.0,Moderna
03/06/2021,124778000.0,Moderna
03/06/2022,520508160.0,Moderna
03/07/2021,124855200.0,Moderna
03/07/2022,520508160.0,Moderna
03/08/2021,124971500.0,Moderna
03/08/2022,520807860.0,Moderna
03/09/2021,129609200.0,Moderna
03/09/2022,521063960.0,Moderna
03/10/2021,135646500.0,Moderna
03/10/2022,521581860.0,Moderna
03/11/2021,139444800.0,Moderna
03/11/2022,521998960.0,Moderna
03/12/2021,141393900.0,Moderna
03/12/2022,521998960.0,Moderna
03/13/2021,143148200.0,Moderna
03/13/2022,521998960.0,Moderna
03/14/2021,143165200.0,Moderna
03/14/2022,522303160.0,Moderna
03/15/2021,143171900.0,Moderna
03/15/2022,522539740.0,Moderna
03/16/2021,147554000.0,Moderna
03/16/2022,522904300.0,Moderna
03/17/2021,153495300.0,Moderna
03/17/2022,523822200.0,Moderna
03/18/2021,157510700.0,Moderna
03/18/2022,524252140.0,Moderna
03/19/2021,159019600.0,Moderna
03/19/2022,524252140.0,Moderna
03/20/2021,160359000.0,Moderna
03/20/2022,524252740.0,Moderna
03/21/2021,160360500.0,Moderna
03/21/2022,524252740.0,Moderna
03/22/2021,160394800.0,Moderna
03/22/2022,524252740.0,Moderna
03/23/2021,165525900.0,Moderna
03/23/2022,525108100.0,Moderna
03/24/2021,172057500.0,Moderna
